Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
ADVANCED DRUG DELIVERY REVIEWS	0169-409X	1872-8294	PHARMACOLOGY & PHARMACY(SCIE)	17.6	1	4/352	165
Matter	2590-2393	2590-2385	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	17.5	1	26/460	166
Trends in Cancer	2405-8033	2405-8025	ONCOLOGY(SCIE)	17.5	1	15/326	167
PSYCHOTHERAPY AND PSYCHOSOMATICS	0033-3190	1423-0348	"PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE)"	17.4	1	3/288	168
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	0149-2195	1545-861X	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)"	17.3	1	7/419	169
PHARMACOLOGICAL REVIEWS	0031-6997	1521-0081	PHARMACOLOGY & PHARMACY(SCIE)	17.3	1	5/352	170
TRENDS IN ECOLOGY & EVOLUTION	0169-5347	1872-8383	ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	17.3	1	1/200	171
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS	0733-8716	1558-0008	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);TELECOMMUNICATIONS(SCIE)"	17.2	1	4/366	172
TRENDS IN COGNITIVE SCIENCES	1364-6613	1879-307X	"BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)"	17.2	1	1/102	173
STUDIES IN MYCOLOGY	0166-0616	1872-9797	MYCOLOGY(SCIE)	17.1	1	2/32	174
JAMA Psychiatry	2168-622X	2168-6238	"PSYCHIATRY(SCIE, SSCI)"	17.1	1	4/288	175
National Science Review	2095-5138	2053-714X	MULTIDISCIPLINARY SCIENCES(SCIE)	17.1	1	8/135	176
Nano Energy	2211-2855	2211-3282	"CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE)"	17.1	1	10/187	177
